Mois	date	jour_99	sem_99	pluvio	TAmin	TAmax	TCmin	TCmax
ao?t	20	vendredi	33	17.5	16	20	14	19
ao?t	21	samedi	33	0	16	20	18	22
ao?t	22	dimanche	33	0	15	17	16	20
ao?t	23	lundi	34	27.5	15	16	18	20
ao?t	24	mardi	34	0	16	23	20	20
ao?t	25	mercredi	34	22.5	16	23	20	20
ao?t	26	jeudi	34	0	16	23	20	20
ao?t	27	vendredi	34	5	15	16	17	19
ao?t	28	samedi	34	0	16	20	19	22
ao?t	29	dimanche	34	22.5	16	18	15	18
ao?t	30	lundi	35	0	16	17	20	20
ao?t	31	mardi	35	0	15	17	19	19
septembre	1	mercredi	35	0	20	21	19	20
septembre	2	jeudi	35	0	17	20	17	20
septembre	3	vendredi	35	0	14	20	17	21
septembre	4	samedi	35	0	19	20	18	22
septembre	5	dimanche	35	17.5	14	18	18	21
septembre	6	lundi	36	7	16	23	19	25
