          f e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e13 e14 e15 e16 e17 e18 e19 e20
60   69  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
61   70  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
62   71  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
63   73  0  0  0  0  0  0  0  0  0   0   0   1  NA  NA  NA  NA  NA  NA  NA  NA
64   74  0  0  0  0  1 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
65   75  0  0  0  0  2 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
66   76  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
67   77  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
68   78  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   1  NA  NA
69   79  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
70   80  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
71   81  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
72   82  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
73   83  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
74   84  0  0  0  0  0  0  0  0  0   0   0   1  NA  NA  NA  NA  NA  NA  NA  NA
75   85  0  0  0  0  0  0  0  0  0   0   0   1  NA  NA  NA  NA  NA  NA  NA  NA
76   86  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
77   87  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   1  NA  NA  NA  NA
78   88  0  0  0  0  2 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
79   90  0  0  3 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
80   91  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   1  NA  NA
81   92  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   1  NA  NA  NA  NA
82   93  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
83   94  0  2 NA NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
84   95  0  0  0  0  0  2 NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
85   96  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   1  NA
86   97  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
87   98  0  0  0  2 NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
88   99  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
89  100  0  0  0  0  2 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
90  101  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
91  102  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
92  103  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
93  104  0  0  0  0  0  0  1 NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
94  105  0  0  0  3 NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
95  106  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
96  107  0  0  0  0  0  0  0  0  0   0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA
97  108  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   1  NA  NA  NA
98  109  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
99  110  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
100 111  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
101 112  0  0  0  0  0  0  0  1 NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
102 113  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
103 114  0  0  0  0  0  0  0  0  0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
104 115  0  0  2 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
105 116  0  0  0  0  2 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
106 117  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   1  NA  NA
107 118  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
108 119  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
109 120  0  0  0  0  0  0  0  0  0   0   0   0   0   0   0   0   0   0   0   0
110 121  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
111 122  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
112 123  0  0  0  0  0  0  0  2 NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
113 124  0  0  0  0  0  0  0  0  1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
114 127  0  0  0  0  0  0  0  0  0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
115 129  0  0  0  0  2 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
116 130  0  0  0  0  0  0  0  0  0   1  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
117 132  0  0  0  0  2 NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
118 134  0  0  0  1 NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
119 135  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
120 136  0  0  1 NA NA NA NA NA NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA  NA
