      f V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20
72   82  1  1  1  2  2  2  2  2  2   2   2  0  0  0  0  0  0  0  0  0
73   83  1  1  1  2  2  2  2  2  2   2   2  0  0  0  0  0  0  0  0  0
74   84  1  1  1  2  2  2  2  2  2   2   2   2  0  0  0  0  0  0  0  0
75   85  1  1  1  1  2  2  2  2  2   2   2   2  0  0  0  0  0  0  0  0
76   86  1  1  1  1  2  2  2  2  2   2   2  0  0  0  0  0  0  0  0  0
77   87  1  1  1  2  2  2  2  2  2   2   2   2   3   3   3   3  0  0  0  0
78   88  1  1  1  1  1 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
79   90  1  1  1 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
80   91  1  2  2  2  2  2  2  2  2   2   2   3   3   3   3   3   3   4  0  0
81   92  1  1  1  1  2  2  2  2  2   2   2   2   2   2   3   4  0  0  0  0
82   93  1  1  1  2  2  2  2  2  2   2   2   3   3   3   3   3   3   3   3   3
83   94  1  1 0 0 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
84   95  1  1  2  2  2  2 0 0 0  0  0  0  0  0  0  0  0  0  0  0
85   96  1  2  2  2  2  2  2  2  2   2   2   3   3   3   3   3   3   3   4  0
86   97  1  1  1  1  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
87   98  1  1  1  1 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
88   99  1  1  1  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
89  100  1  1  1  1  1 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
90  101  1  1  2  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
91  102  1  2  2  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
92  103  1  2  2  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
93  104  1  2  2  2  2  2  2 0 0  0  0  0  0  0  0  0  0  0  0  0
94  105  1  2  2  2 0 0 0 0 0  0  0  0  0  0  0  0  0  0  0  0
95  106  1  1  1  2  2  2  2  2  2   2   2   2   2   3   3   3   3   3   3   3
96  107  1  1  2  2  2  2  2  2  2   2   2  0  0  0  0  0  0  0  0  0
97  108  1  1  2  2  2  2  2  2  2   2   2   2   2   3   3   3   3  0  0  0
98  109  1  1  1  1  2  2  2  2  2  0  0  0  0  0  0  0  0  0  0  0
